iter	Passed	Remaining
0	130	324950
1	193	241696
2	254	211975
3	316	197215
4	376	188013
5	417	173336
6	483	172179
7	547	170398
8	610	169044
9	681	169751
10	759	171866
11	850	176361
12	918	175754
13	984	174818
14	1049	173873
15	1124	174553
16	1186	173305
17	1225	168976
18	1286	168027
19	1351	167544
20	1414	166928
21	1474	166061
22	1537	165532
23	1600	165144
24	1660	164412
25	1720	163732
26	1787	163714
27	1850	163369
28	1908	162636
29	1969	162170
30	1994	158819
31	2063	159125
32	2123	158769
33	2182	158286
34	2239	157732
35	2298	157314
36	2354	156749
37	2412	156287
38	2471	155927
39	2528	155498
40	2585	155084
41	2641	154593
42	2699	154250
43	2761	154151
44	2818	153754
45	2874	153359
46	2932	153036
47	2975	152010
48	3035	151830
49	3091	151501
50	3148	151189
51	3206	150975
52	3264	150721
53	3321	150437
54	3378	150196
55	3438	150086
56	3495	149835
57	3552	149564
58	3608	149293
59	3668	149184
60	3725	148952
61	3783	148786
62	3839	148518
63	3898	148369
64	3958	148289
65	4013	148029
66	4075	147979
67	4135	147909
68	4193	147749
69	4249	147530
70	4307	147375
71	4368	147318
72	4426	147180
73	4466	146423
74	4523	146265
75	4583	146185
76	4642	146088
77	4700	145954
78	4738	145220
79	4806	145406
80	4869	145421
81	4930	145375
82	4986	145203
83	5046	145150
84	5109	145173
85	5185	145565
86	5262	145952
87	5333	146189
88	5399	146277
89	5471	146508
90	5533	146488
91	5592	146378
92	5648	146195
93	5708	146106
94	5768	146032
95	5826	145895
96	5884	145775
97	5943	145688
98	6002	145568
99	6060	145458
100	6118	145330
101	6178	145250
102	6238	145175
103	6319	145592
104	6428	146622
105	6509	147022
106	6589	147373
107	6662	147558
108	6721	147440
109	6784	147399
110	6853	147497
111	6914	147416
112	6981	147467
113	7063	147827
114	7123	147744
115	7184	147655
116	7246	147588
117	7315	147668
118	7393	147927
119	7460	147970
120	7520	147862
121	7579	147729
122	7642	147684
123	7704	147623
124	7774	147708
125	7841	147746
126	7907	147756
127	7968	147659
128	8026	147533
129	8086	147415
130	8145	147305
131	8201	147133
132	8257	146963
133	8316	146849
134	8379	146788
135	8436	146649
136	8495	146538
137	8561	146531
138	8635	146675
139	8704	146728
140	8790	147068
141	8853	147021
142	8913	146908
143	8975	146850
144	9031	146684
145	9088	146536
146	9146	146400
147	9203	146266
148	9263	146161
149	9290	145546
150	9349	145446
151	9408	145329
152	9465	145205
153	9523	145080
154	9581	144952
155	9638	144830
156	9695	144687
157	9752	144563
158	9812	144470
159	9877	144451
160	9945	144489
161	10038	144876
162	10094	144725
163	10151	144593
164	10207	144453
165	10269	144396
166	10327	144274
167	10391	144238
168	10447	144094
169	10506	144003
170	10563	143875
171	10622	143778
172	10680	143664
173	10744	143628
174	10807	143586
175	10873	143581
176	10933	143496
177	10992	143399
178	11052	143306
179	11079	142802
180	11137	142694
181	11193	142568
182	11253	142484
183	11310	142363
184	11426	142983
185	11554	143743
186	11625	143799
187	11705	143949
188	11778	144023
189	11836	143911
190	11897	143826
191	11953	143687
192	12010	143560
193	12070	143475
194	12140	143506
195	12210	143535
196	12280	143562
197	12348	143568
198	12417	143586
199	12489	143631
200	12563	143703
201	12628	143664
202	12693	143626
203	12765	143671
204	12826	143598
205	12894	143592
206	12963	143600
207	13051	143816
208	13108	143695
209	13176	143689
210	13254	143790
211	13320	143761
212	13388	143749
213	13477	143965
214	13541	143913
215	13607	143886
216	13676	143882
217	13785	144305
218	13872	144493
219	13943	144507
220	14015	144534
221	14084	144525
222	14158	144565
223	14224	144529
224	14282	144415
225	14341	144307
226	14400	144194
227	14461	144103
228	14520	143995
229	14578	143879
230	14635	143761
231	14698	143694
232	14754	143556
233	14813	143449
234	14869	143321
235	14944	143363
236	15011	143334
237	15067	143207
238	15124	143081
239	15181	142962
240	15239	142842
241	15297	142731
242	15353	142605
243	15410	142487
244	15467	142361
245	15521	142220
246	15576	142084
247	15649	142106
248	15716	142083
249	15779	142011
250	15835	141889
251	15895	141793
252	15951	141670
253	16010	141571
254	16088	141638
255	16229	142261
256	16324	142470
257	16380	142344
258	16438	142231
259	16498	142143
260	16568	142136
261	16630	142060
262	16693	141986
263	16752	141887
264	16810	141776
265	16871	141692
266	16934	141627
267	16991	141513
268	17053	141438
269	17121	141414
270	17198	141462
271	17263	141412
272	17321	141301
273	17381	141205
274	17439	141101
275	17495	140976
276	17550	140850
277	17610	140755
278	17673	140694
279	17762	140834
280	17843	140905
281	17925	140992
282	17999	141006
283	18072	141013
284	18145	141024
285	18207	140948
286	18266	140848
287	18324	140738
288	18380	140622
289	18439	140518
290	18493	140383
291	18547	140250
292	18606	140148
293	18662	140032
294	18719	139922
295	18792	139930
296	18852	139839
297	18910	139732
298	18964	139601
299	19021	139490
300	19081	139399
301	19138	139291
302	19194	139174
303	19249	139055
304	19325	139081
305	19394	139054
306	19460	139014
307	19521	138934
308	19585	138873
309	19641	138755
310	19697	138642
311	19756	138548
312	19817	138470
313	19873	138355
314	19931	138252
315	19988	138149
316	20046	138049
317	20104	137950
318	20160	137837
319	20216	137721
320	20277	137649
321	20335	137548
322	20392	137446
323	20448	137331
324	20510	137262
325	20579	137239
326	20655	137259
327	20717	137189
328	20733	136818
329	20792	136725
330	20856	136668
331	20924	136637
332	21002	136671
333	21126	137007
334	21235	137237
335	21314	137277
336	21387	137274
337	21467	137316
338	21543	137329
339	21599	137223
340	21669	137200
341	21746	137219
342	21796	137068
343	21872	137084
344	21947	137090
345	22023	137103
346	22100	137127
347	22164	137063
348	22228	137002
349	22311	137055
350	22386	137062
351	22461	137068
352	22532	137045
353	22610	137066
354	22668	136966
355	22728	136881
356	22789	136802
357	22847	136701
358	22904	136598
359	22961	136493
360	23018	136390
361	23075	136284
362	23131	136173
363	23188	136070
364	23254	136024
365	23311	135918
366	23369	135825
367	23427	135727
368	23487	135642
369	23561	135635
370	23637	135644
371	23718	135680
372	23794	135687
373	23863	135649
374	23925	135577
375	24001	135581
376	24069	135540
377	24178	135733
378	24291	135941
379	24360	135906
380	24441	135938
381	24504	135863
382	24572	135821
383	24645	135809
384	24717	135783
385	24784	135736
386	24852	135691
387	24922	135658
388	24982	135572
389	25042	135484
390	25103	135407
391	25164	135325
392	25227	135250
393	25288	135171
394	25349	135089
395	25376	134827
396	25436	134740
397	25496	134656
398	25558	134583
399	25619	134500
400	25680	134423
401	25742	134346
402	25806	134282
403	25865	134191
404	25924	134101
405	25984	134018
406	26044	133932
407	26100	133827
408	26158	133736
409	26215	133633
410	26273	133540
411	26329	133435
412	26387	133343
413	26443	133241
414	26501	133144
415	26558	133045
416	26616	132953
417	26672	132849
418	26729	132753
419	26785	132653
420	26843	132559
421	26898	132455
422	26953	132346
423	27012	132260
424	27079	132209
425	27145	132157
426	27214	132120
427	27284	132085
428	27359	132078
429	27424	132021
430	27489	131962
431	27554	131902
432	27632	131907
433	27726	131987
434	27809	132013
435	27890	132030
436	27970	132046
437	28051	132060
438	28132	132076
439	28208	132069
440	28289	132079
441	28369	132093
442	28453	132117
443	28532	132124
444	28596	132057
445	28663	132005
446	28731	131958
447	28791	131876
448	28853	131802
449	28921	131754
450	28989	131707
451	29069	131712
452	29146	131704
453	29223	131696
454	29291	131650
455	29352	131572
456	29419	131516
457	29500	131529
458	29576	131516
459	29652	131504
460	29725	131474
461	29798	131448
462	29861	131378
463	29928	131322
464	29994	131265
465	30058	131198
466	30127	131154
467	30192	131094
468	30261	131045
469	30331	131007
470	30406	130986
471	30468	130911
472	30530	130835
473	30592	130760
474	30651	130670
475	30711	130588
476	30767	130486
477	30831	130422
478	30890	130334
479	30956	130274
480	31014	130181
481	31071	130089
482	31129	129994
483	31186	129902
484	31246	129818
485	31305	129729
486	31364	129642
487	31419	129543
488	31482	129469
489	31542	129386
490	31609	129335
491	31674	129274
492	31739	129211
493	31802	129142
494	31869	129085
495	31952	129096
496	32009	129005
497	32066	128909
498	32126	128827
499	32199	128796
500	32262	128727
501	32321	128641
502	32385	128575
503	32442	128481
504	32502	128401
505	32560	128312
506	32619	128226
507	32680	128149
508	32738	128060
509	32800	127986
510	32861	127909
511	32923	127834
512	32985	127761
513	33066	127762
514	33139	127731
515	33220	127731
516	33286	127674
517	33348	127601
518	33419	127560
519	33488	127513
520	33545	127422
521	33608	127350
522	33669	127272
523	33740	127236
524	33800	127153
525	33873	127123
526	33940	127068
527	34002	126992
528	34065	126923
529	34120	126825
530	34176	126729
531	34232	126633
532	34292	126555
533	34351	126469
534	34409	126381
535	34465	126286
536	34525	126209
537	34563	126048
538	34622	125962
539	34678	125869
540	34738	125789
541	34794	125697
542	34853	125612
543	34907	125514
544	34966	125429
545	35023	125339
546	35078	125244
547	35135	125155
548	35194	125073
549	35250	124979
550	35308	124892
551	35369	124819
552	35429	124740
553	35494	124678
554	35557	124611
555	35617	124531
