,target
0,-0.04240352
1,-0.032905877
2,0.002095133
3,-0.05793351
4,3.0070543e-05
5,-0.008284569
6,-0.009113669
7,-0.053803563
8,-0.032942235
9,-0.050664306
10,-0.040868938
11,-0.07641196
12,0.01830557
13,0.19213885
14,-0.06959653
15,-0.02371788
16,-0.053920984
17,-0.05288458
18,-0.017947733
19,-0.053603053
20,-0.018049896
21,0.18952909
22,0.16258398
23,-0.019361973
24,0.0040830076
25,-0.011751354
26,0.033511847
27,0.1496295
28,-0.042375207
29,-0.0312531
30,0.06846359
31,-0.048222125
32,-0.06411421
33,-0.010032713
34,-0.07154882
35,-0.013943732
36,-0.08812547
37,-0.039671957
38,-0.10051787
39,0.05543223
40,0.15052167
41,-0.03384161
42,-0.00529027
43,0.16001153
44,-0.049577475
45,-0.030550182
46,-0.07863802
47,-0.057000995
48,0.13637534
49,-0.06561875
50,-0.06118524
51,-0.04375279
52,-0.0422917
53,-0.04850155
54,0.12642094
55,-0.03155631
56,-0.056530178
57,-0.069782615
58,-0.06627715
59,-0.020798564
60,-0.041215062
61,-0.010069609
62,-0.042266786
63,0.14966199
64,-0.012212515
65,-0.037453413
66,-0.07168889
67,0.14096126
68,-0.06565088
69,0.19511613
70,0.0065690875
71,0.05328518
72,-0.057311296
73,-0.031948388
74,-0.04967332
75,-0.07292396
76,-0.03052044
77,-0.04153925
78,0.0062250197
79,-0.063387275
80,0.09054485
81,-0.027855277
82,0.042057335
83,-1.847744e-06
84,-0.07121599
85,-0.0681836
86,-0.030495167
87,0.032155633
88,0.025857896
89,-0.08023131
90,-0.06289023
91,-0.044452548
92,0.017290711
93,-0.040454388
94,0.013629377
95,-0.04044354
96,-0.051373005
97,-0.018758476
98,-0.0059369802
99,-0.008900583
100,0.14193445
101,-0.0059102774
102,0.005687624
103,-0.028653383
104,-0.07466817
105,-0.024212003
106,-0.041105628
107,-0.026524425
108,-0.09915656
109,-0.018995106
110,-0.0019143224
111,-0.040868938
112,-0.04183072
113,-0.026251674
114,0.13365436
115,-0.053431332
116,-0.009489775
117,-0.034318984
118,-0.011917353
119,-0.014630258
120,0.13981506
121,-0.039544344
122,0.1983051
123,-0.009366214
124,0.112020165
125,-0.042833507
126,-0.0004915595
127,-0.03442985
128,0.00606218
129,-0.06304884
130,-0.014001548
131,0.031814605
132,-0.02642417
133,-0.061374664
134,-0.061793745
135,0.16267833
136,-0.045481324
137,0.03759271
138,-0.019096613
139,-0.03348738
140,-0.04379064
141,-0.042707026
142,-0.038691044
143,-0.048748016
144,-0.03845972
145,-0.008284569
146,0.15753531
147,-0.018397987
148,-0.09046811
149,-0.0866971
150,-0.05823618
151,-0.010608852
152,-0.033882856
153,-0.09198731
154,0.0422464
155,-0.045303404
156,-0.04165697
157,-0.02889502
158,0.1254805
159,-0.05565542
160,-0.029647052
161,0.004903078
162,0.00606218
163,-0.020578265
164,-0.056709945
165,-0.05032748
166,-0.07325804
167,-0.06444818
168,-0.011352003
169,0.0035233498
170,0.17518902
171,-0.015251815
172,-0.0589242
173,-0.019663155
174,0.007961839
175,0.10617536
176,-0.038856447
177,-0.020498753
178,-0.046216965
179,-0.080979645
180,-0.066589415
181,-0.038853347
182,0.17455953
183,-0.08633888
184,-0.018995106
